weather_severity,origin_congestion,dest_congestion,carrier_ontime_rate,cargo_priority_weight,days_until_eta,route_distance_km,disruption_occurred
2.136,7.0251,6.0757,0.6459,3,23.24,2932.9426,1
7.7313,2.0308,8.3737,0.9745,1,17.7819,13968.8639,1
9.1722,4.3778,9.4732,0.6373,5,21.0278,9595.0147,1
7.9523,8.6526,6.4037,0.6033,5,23.6964,5534.4546,1
4.3351,5.5536,4.0711,0.9238,4,4.0606,14431.4197,0
8.4584,7.3658,4.9194,0.8729,3,18.8615,13834.456,1
5.1839,8.4316,6.3323,0.6918,2,25.0912,1756.612,1
3.1948,5.1824,6.493,0.7168,1,15.3349,5212.7054,0
4.1934,3.3252,3.5169,0.8123,3,17.1179,7991.0951,0
3.1722,4.6579,5.9966,0.6557,4,19.7312,7616.9094,0
1.8375,2.9944,7.2261,0.6847,5,11.7016,8525.3578,0
9.9697,5.9535,4.1663,0.7496,3,8.2907,2249.5103,1
2.076,5.8228,7.8597,0.6315,2,22.4195,4509.2446,1
7.8419,6.3711,9.8246,0.9164,3,7.597,3101.9024,0
5.8072,3.4688,9.7687,0.7935,2,19.4982,11415.4865,1
1.1104,3.5591,5.3084,0.6999,1,8.3219,12994.983,0
1.5881,5.4257,6.1932,0.852,2,5.3267,8661.1742,0
9.9453,2.0661,7.88,0.8168,5,7.5449,8077.3018,1
4.9845,8.7415,9.9103,0.6844,5,2.7467,14421.5773,0
7.8646,6.6296,3.3818,0.5857,2,6.0406,1588.4406,0
5.0545,6.3443,3.6213,0.6518,3,21.3866,7083.4542,0
9.3152,8.0905,6.6255,0.8409,2,13.329,8396.1545,1
9.1757,8.4397,1.6427,0.623,3,18.2563,12451.4844,1
4.9524,5.2183,3.7368,0.7271,3,15.5137,7660.0307,1
1.3587,4.8883,3.9009,0.6602,1,7.6388,10277.3263,0
6.2841,1.1867,7.8828,0.9114,5,2.1667,11465.898,1
6.8636,9.2447,2.6334,0.8075,4,29.1026,7315.1507,1
3.8895,1.9414,2.4474,0.7311,4,9.3583,14205.3063,0
5.9509,5.0934,3.8307,0.6922,4,26.0824,12461.4444,1
8.8243,5.1578,1.4878,0.7781,5,22.9369,9568.4268,1
2.832,5.943,9.3491,0.7428,4,4.5214,14610.6288,1
3.1537,2.4254,5.9576,0.793,1,7.5163,12700.3824,0
9.5235,6.8294,2.3857,0.9604,3,15.7573,4464.661,1
9.8222,3.1936,5.9614,0.7188,5,15.739,13250.2307,1
3.4862,8.1101,4.7345,0.9611,5,8.748,537.1963,1
8.5373,6.2193,6.9395,0.9307,4,16.6188,5504.2972,1
5.8909,5.0981,3.896,0.633,2,17.5821,3886.6555,1
1.3928,7.7023,7.3471,0.907,4,29.664,11989.7081,0
2.3689,9.6834,2.1362,0.9748,3,26.2213,13175.7604,1
5.7336,5.1124,7.502,0.7304,2,3.17,11832.1167,0
6.6093,4.5773,1.7228,0.6946,5,12.0203,5091.5867,0
7.8346,8.8514,1.3231,0.5801,3,29.9254,11328.1123,1
1.886,6.7037,8.8532,0.7452,3,27.1993,1166.869,1
3.6403,4.3736,2.3101,0.7837,5,20.7722,3110.8248,0
6.4854,4.4429,7.1482,0.769,5,5.1504,7186.6737,0
3.2979,1.0846,8.2417,0.9465,5,5.5813,6905.0819,1
6.2881,6.7504,4.8188,0.66,3,6.7773,6078.0521,0
3.1349,6.1473,6.1733,0.9868,3,1.6362,12535.5446,0
1.0729,8.7856,8.0048,0.9784,5,22.61,12576.164,1
7.9817,3.0711,8.2174,0.6464,2,19.0058,10327.5847,1
6.9326,8.545,6.6542,0.9475,1,9.9591,6891.9363,1
7.5912,1.8112,3.656,0.8789,2,6.823,11904.4358,1
4.2927,5.5162,3.4527,0.6224,4,29.0541,4779.551,1
8.2381,5.215,1.6777,0.8818,2,25.9441,11001.1423,1
9.7054,8.2413,4.292,0.8979,1,8.6693,2292.0367,1
7.7411,3.3595,4.4292,0.831,3,4.142,3890.4176,0
8.9581,6.0527,9.2373,0.6474,1,19.4267,7231.8793,1
6.8432,2.0501,1.4081,0.5664,4,4.3675,3904.6005,1
4.4978,4.3391,9.5444,0.8565,5,13.1547,11262.9007,1
4.734,1.8912,5.4041,0.7296,3,1.9488,5872.6844,0
9.555,8.6991,1.8942,0.8517,5,27.1492,9849.9887,0
3.4829,9.7139,9.5411,0.9126,1,20.2203,9804.7148,1
1.1922,8.0812,3.1921,0.6054,5,6.951,12532.3586,1
6.2774,8.3175,3.097,0.8907,5,1.0822,12946.8888,1
2.1699,3.2559,2.5705,0.8409,1,4.8223,5694.513,0
6.2997,1.142,3.3883,0.6058,4,16.2565,11312.1465,1
8.0022,5.6191,1.9815,0.7717,5,2.2576,11856.7914,1
5.6931,5.1224,9.6762,0.5768,4,25.5717,6680.9675,1
7.4116,4.9921,9.0934,0.6917,2,2.9048,4487.732,1
5.9352,3.9267,9.9516,0.7834,4,15.661,6737.8902,1
2.0297,6.8924,8.8994,0.7926,2,13.472,13377.3198,1
8.4468,4.5886,7.5665,0.6875,3,20.2881,5927.3648,1
9.3069,1.6042,8.4859,0.591,1,22.5931,5903.3795,1
1.5398,9.6096,6.0552,0.8448,4,11.2543,10147.4375,1
8.8128,7.4895,9.7156,0.8142,3,4.0044,7857.4819,1
5.3397,8.6255,4.151,0.7948,1,23.1156,8824.4501,1
8.6064,9.7709,8.3658,0.82,5,1.7614,13971.7222,1
3.407,2.6237,7.3243,0.686,3,11.1797,3130.3806,0
6.9161,1.6263,7.6687,0.9776,1,22.6372,3619.4268,0
4.0681,4.3305,7.4944,0.8918,5,18.2905,13308.4617,0
7.7899,1.4479,1.7342,0.745,4,15.0842,6909.6407,1
7.7945,2.0244,4.8692,0.6746,5,15.1123,10173.4221,0
4.5574,6.3939,1.0692,0.6826,2,23.2531,11580.333,0
2.0799,5.4765,4.8759,0.6068,5,21.4065,7753.804,1
8.2558,1.6487,8.7559,0.5686,1,14.3329,1629.0079,1
4.8636,4.6398,6.7613,0.6774,4,1.6048,5209.1386,0
6.5631,8.4882,9.2779,0.5888,1,8.0562,9038.6337,1
4.5619,3.7925,4.0556,0.6966,2,3.215,9681.7577,0
2.7451,7.9861,4.1599,0.9716,2,7.8518,2623.4412,0
6.4216,7.8419,6.8996,0.6279,4,14.4546,8674.1645,1
7.1302,8.9384,6.7869,0.9841,3,26.0632,9594.6524,1
1.6146,4.9799,3.7254,0.6709,1,11.2063,1575.7645,0
1.3385,4.3186,3.5837,0.8337,1,18.8352,7852.4834,0
5.9888,8.1264,9.0629,0.7479,5,19.9033,5162.1381,1
2.3577,1.5569,1.9315,0.9456,3,29.4892,1722.7724,0
1.3523,7.3686,9.9189,0.7806,5,5.6036,5906.3537,1
4.6789,4.0453,6.381,0.8973,3,2.9114,1870.3362,0
3.5573,7.5136,6.9091,0.9488,2,10.6675,8949.723,0
4.1484,9.7093,7.2863,0.7225,5,21.5562,1728.4257,1
6.7914,3.9563,2.1501,0.8592,5,3.7101,10221.6126,0
1.1641,3.7798,9.5605,0.7004,4,6.5682,14999.661,1
3.6621,8.0931,5.5692,0.7875,5,2.0947,5383.0834,1
2.1794,4.3905,2.4602,0.9158,5,24.4623,2900.3179,0
4.6977,7.0873,3.1378,0.7454,3,22.8193,11865.1052,0
3.1525,9.6904,8.0593,0.9477,2,11.6674,14233.3875,1
5.1551,3.5359,4.4369,0.7821,2,24.6898,12118.2588,0
3.25,6.7706,8.8671,0.794,1,21.6306,7980.6861,1
1.7549,2.4428,5.0439,0.7759,4,3.6597,13702.3218,0
8.9617,9.3742,4.7341,0.7244,3,7.8376,14920.6176,1
1.2537,9.3774,8.5526,0.836,2,4.9904,4659.7513,1
7.2646,2.2491,7.3498,0.7474,1,27.2699,775.5563,1
2.3457,9.462,6.4799,0.7362,3,7.8916,2266.801,1
6.7506,6.6053,1.5653,0.9181,4,18.3054,738.3126,0
3.1774,2.2922,4.8632,0.8205,2,17.5492,3216.0517,0
5.7114,4.2454,9.5806,0.7894,5,17.0704,6161.5791,1
6.721,9.8294,3.2829,0.5571,1,10.9993,11127.6448,1
7.9435,7.6167,3.9927,0.5695,5,10.8179,9820.5364,1
7.1621,9.8274,5.3068,0.6302,2,2.8299,11754.7608,1
3.641,1.3943,2.7952,0.5684,3,15.9461,14842.2792,1
3.2798,7.7796,2.7199,0.7071,1,26.1082,5312.908,0
4.3122,9.0054,7.6898,0.9436,4,10.8321,3208.8497,1
4.3061,8.1756,3.4005,0.5863,4,3.2889,9235.5728,1
5.9093,3.8909,1.7206,0.8408,3,13.9316,10906.1122,0
4.9952,5.0242,7.5413,0.9511,5,29.9464,4481.0527,0
9.5311,1.6754,6.7376,0.7099,2,28.6309,2570.3023,1
8.0318,1.3132,1.6051,0.8925,3,11.5024,14267.2731,0
2.3809,5.0493,4.3387,0.7453,1,17.6437,8177.1683,0
6.846,3.2465,2.021,0.8737,4,16.0146,13746.3663,0
7.9747,7.3363,2.9311,0.8192,4,6.8052,2468.0621,0
2.5539,7.4203,9.9754,0.9066,3,20.3674,10788.3371,1
3.6133,3.6996,2.4175,0.8622,2,24.0172,7876.9583,0
2.8088,2.2499,8.1134,0.5616,5,17.596,7277.3847,1
2.1679,8.9582,1.5917,0.7252,4,16.2452,11652.886,1
1.6638,9.7514,6.781,0.748,5,10.9909,13230.4222,1
6.7581,2.6377,9.6964,0.7404,1,25.1103,8012.4809,1
2.4577,9.4126,3.0292,0.9669,5,26.9529,12766.0387,1
6.7155,5.9576,2.1265,0.6832,5,3.7094,9794.3177,0
6.2258,2.5408,6.6203,0.9469,3,25.4334,8672.4615,0
1.2554,1.4092,6.7731,0.8038,2,23.2418,6540.5084,0
5.4823,6.6445,3.607,0.9709,4,8.1015,12206.5651,0
5.0819,7.1975,2.4227,0.7329,4,6.9167,9296.5738,0
7.4653,7.6078,8.747,0.9792,2,23.0593,7967.2119,1
3.1756,2.1027,5.0464,0.612,1,9.4161,6070.1726,1
3.2344,8.7878,2.4373,0.6941,5,21.9127,3252.5945,1
9.9637,5.2013,8.9117,0.7688,1,28.4118,7828.9447,1
2.9363,4.1761,1.4549,0.7678,4,9.2867,618.5724,0
2.2054,3.3803,4.292,0.7274,1,12.6169,8769.0838,0
5.979,1.6618,5.5383,0.8863,3,24.934,9537.0029,0
2.158,1.8701,4.3588,0.9842,5,28.2295,11446.995,0
5.5821,5.5007,1.4077,0.6103,3,24.315,8030.3243,1
9.0382,2.258,9.3823,0.6902,4,29.7279,11220.1307,1
4.0274,8.4546,5.7911,0.8618,3,14.7719,741.2359,1
1.9864,4.7489,3.7691,0.9455,1,18.3104,4350.1913,0
9.7485,6.2063,3.0479,0.5726,4,5.9448,9620.866,1
8.5705,2.33,7.1265,0.5639,1,6.5327,6895.0592,1
4.7166,2.835,5.5164,0.8191,4,26.3117,11169.6404,1
2.2427,2.8661,3.9254,0.8414,5,11.9279,14371.9396,0
5.7981,5.9165,7.0828,0.9318,3,18.6922,3287.8305,0
6.0228,3.0238,9.7562,0.681,3,21.4421,10508.4787,1
5.3182,6.0444,9.4104,0.8675,3,4.5343,10311.0226,1
9.8214,8.3654,9.5915,0.904,3,2.2199,14352.0489,0
9.3161,6.9037,7.726,0.6442,5,8.8628,8649.2613,1
1.983,7.668,3.1535,0.5723,5,7.5445,3876.1301,1
3.9726,5.2516,7.1307,0.6105,5,29.3594,2790.1456,1
8.9258,5.2813,6.8548,0.8826,3,10.3139,9865.5198,1
1.8051,6.1672,5.8164,0.8682,1,27.4837,3038.4392,0
2.5821,9.2767,9.9745,0.7247,4,6.403,11360.5464,1
3.6052,1.3372,3.6855,0.8152,3,9.2523,14841.9423,0
5.4452,9.447,8.6595,0.7559,2,24.4556,5294.9194,1
6.8346,7.4674,1.1268,0.6983,3,17.4657,11480.5999,0
8.7053,9.0734,8.4429,0.7767,1,12.6242,1883.084,1
5.2971,9.4224,1.0615,0.7188,4,22.8589,14333.5049,1
7.5059,1.1029,6.8832,0.8548,1,20.3658,7248.2274,1
7.1747,9.308,8.9902,0.8887,1,19.5226,14139.2165,1
2.9876,9.6162,5.3036,0.7502,5,11.8351,10678.1405,1
7.8162,8.218,8.4304,0.8852,5,26.3209,1687.1194,1
7.3339,1.7029,6.0775,0.5772,5,27.1838,3431.2733,1
2.4808,8.6904,4.9766,0.8493,5,15.176,13533.8956,1
1.5007,2.1875,4.7388,0.7981,5,14.409,12200.2726,0
4.5635,8.3481,7.7122,0.8045,1,13.2872,10655.5807,1
1.5423,9.048,9.8752,0.7577,3,12.8571,11650.0949,1
9.805,6.8129,4.7833,0.9869,4,14.0076,13798.1686,1
1.7222,9.6773,8.871,0.6085,3,4.4404,14896.2783,1
2.1461,9.8085,8.5134,0.8827,3,14.4271,10926.8626,1
4.4135,3.067,5.1456,0.6183,2,28.1849,11012.8472,1
8.2853,4.7732,7.8945,0.9389,1,7.9793,1475.7181,1
5.018,7.0482,8.8499,0.6577,1,12.6657,3897.9195,1
8.7736,1.508,5.5351,0.6773,5,10.2482,9169.8063,1
3.886,3.7159,2.2893,0.8405,2,12.9932,4489.7318,0
6.325,7.6169,2.5762,0.8487,5,15.373,14598.2084,0
7.0421,8.0722,3.8686,0.7332,2,9.6968,3166.2452,1
3.1687,3.0281,8.7179,0.6135,4,27.5275,8654.5963,1
6.0156,2.2068,3.1857,0.6395,1,27.7446,12783.4341,0
7.5213,2.7143,3.4162,0.8464,5,2.1469,1555.3728,1
6.2883,7.0431,2.9531,0.6419,3,9.7925,13680.4153,1
2.7102,7.6733,7.7219,0.8819,2,21.1732,10704.6444,0
3.154,3.8945,3.5475,0.7552,3,9.9442,5714.847,0
5.194,8.2253,7.5017,0.8851,3,27.5156,5875.2214,1
6.0627,2.9915,2.3133,0.6647,5,17.7951,6554.8821,0
3.9688,4.4186,8.5003,0.7697,3,8.4625,12413.0831,1
6.7753,5.4154,2.5141,0.8998,2,5.0588,8424.9218,0
9.0043,9.9129,9.6151,0.7805,1,28.4105,10189.1254,1
4.7115,8.5829,3.0829,0.8612,1,7.3429,7112.1401,0
6.7396,9.4051,9.2148,0.8401,1,1.1918,8498.8316,0
5.7648,3.4727,9.7973,0.5575,4,24.3789,13691.7138,1
1.8668,2.3401,2.7274,0.7816,3,8.7524,6254.9981,0
4.6542,6.085,9.9121,0.6494,1,19.9583,12944.1778,1
1.8415,4.4134,5.9743,0.5747,1,21.3825,1698.9488,1
6.8042,3.9814,9.796,0.9785,5,27.6554,3831.6142,1
7.2306,6.1011,3.4399,0.9566,3,27.08,8670.893,0
9.3589,3.8304,9.6532,0.8083,4,27.9374,4839.5149,1
6.1003,8.645,7.0933,0.7878,4,22.9127,2529.2836,1
7.5175,5.5071,9.7689,0.5736,4,7.7322,1602.2646,1
6.5248,6.3605,9.7203,0.6936,3,23.7229,7032.9778,1
5.9773,4.3788,2.6716,0.8078,4,3.4851,9469.9304,0
7.418,1.7383,2.388,0.8631,2,22.45,5091.8343,1
1.0468,3.7744,4.2393,0.6687,2,3.5316,6749.203,0
5.612,1.9296,1.8066,0.7939,5,18.3433,5204.2398,0
3.6266,4.4902,1.7623,0.9465,2,17.5869,2958.9524,0
2.2496,3.7102,5.4381,0.5778,4,9.0029,4846.4077,1
4.2501,9.498,7.4881,0.7682,5,6.6709,2051.0993,1
9.5394,3.99,6.5817,0.9038,3,13.7665,6743.9352,1
6.8593,6.3495,3.7039,0.8154,2,14.8913,3075.7404,0
3.8722,7.6139,6.6961,0.9758,2,10.4507,4564.3521,0
4.2851,9.3886,2.7982,0.9888,2,20.7697,8476.4378,1
5.1546,7.3753,4.9461,0.6782,1,24.75,12037.0241,0
5.4937,6.7,3.1782,0.8398,4,23.8832,1572.4945,0
5.3131,4.6072,5.5595,0.955,4,16.7657,11965.4533,0
9.0595,5.8322,6.7436,0.5874,2,20.0704,5647.6279,1
1.3987,9.8525,7.0972,0.7258,3,29.0058,6741.6054,0
3.3286,5.5961,5.6692,0.8054,5,7.4099,5924.7337,0
7.116,7.2139,2.3567,0.989,4,4.0319,6531.6437,1
2.0446,9.4661,2.2751,0.6872,4,23.7438,8056.165,1
1.8786,7.4979,5.072,0.5796,1,24.4954,2168.7364,1
6.8317,7.0943,2.4792,0.9829,2,15.9638,8502.6992,0
4.8373,5.1585,8.1798,0.8271,2,19.5739,6765.9496,0
6.527,2.7759,6.3298,0.7211,2,6.9677,11408.7197,0
1.5631,1.9158,8.8478,0.6323,3,6.7152,2152.3471,1
5.4054,9.6932,3.8206,0.721,4,18.0231,5544.9072,1
6.5563,8.3236,7.3539,0.6809,5,18.1149,10245.5962,1
3.1472,2.0525,4.3598,0.6122,4,13.1289,2499.0758,1
2.6718,6.7195,7.2409,0.8339,2,17.0925,7599.8094,0
3.8312,5.059,1.4825,0.708,1,15.0537,3329.3631,0
6.0542,6.8776,4.6822,0.7664,4,15.1723,1698.7241,1
7.8495,3.6288,3.4737,0.7865,2,23.6415,8701.9317,1
5.4578,5.5973,6.1544,0.6679,5,24.8752,5819.4957,0
1.3745,7.4708,5.9172,0.9855,1,22.3437,9978.2397,0
8.8733,1.2901,3.3653,0.9294,1,13.733,14912.3864,1
3.1325,8.2963,6.2913,0.7043,5,19.3503,2906.7335,1
2.8596,2.8625,1.5342,0.7044,3,18.3089,2941.4718,0
3.6337,6.1546,9.5716,0.7763,1,4.9321,11376.365,1
1.5336,3.4959,6.9031,0.8586,2,8.2406,10815.2253,0
7.8533,7.0861,5.4051,0.8041,3,19.2066,5939.9988,0
8.1514,7.92,4.6257,0.8799,3,14.1862,7576.645,1
8.8202,8.6245,1.8383,0.9777,3,25.6531,12037.3299,1
9.7132,8.4236,5.4524,0.6921,3,10.7949,8880.0378,1
5.368,4.0937,7.143,0.5713,1,19.1592,12632.1816,0
9.3649,2.4219,5.1087,0.9864,4,6.8672,10484.5823,1
6.85,2.4308,9.3945,0.6706,3,8.2613,5891.7346,1
2.4897,4.5671,3.7496,0.8578,2,13.4477,1822.3882,1
2.9208,1.7014,6.3431,0.7786,4,1.2693,10586.1581,0
9.8934,4.8008,2.1896,0.5812,4,3.5906,12186.3741,1
4.3081,3.6933,4.4445,0.9079,2,19.6057,10318.4876,1
6.0696,6.4929,2.477,0.7045,2,19.2143,2694.9249,0
7.1791,8.7397,1.7802,0.5942,1,18.0976,6068.4627,1
3.8305,2.2585,3.4927,0.5871,5,18.429,10957.1048,1
9.4715,1.2414,8.6236,0.9354,2,16.0147,7888.0772,1
3.6599,1.4911,9.0812,0.9701,4,12.1907,3995.6855,1
1.6391,8.9985,1.1086,0.7089,3,4.8275,12981.8031,1
4.2887,7.1465,7.8645,0.97,1,1.484,1479.2223,0
1.3584,1.5442,8.1036,0.7729,5,23.2462,6641.8409,1
6.7648,5.8389,2.3741,0.5868,1,15.8278,3446.3637,1
5.8275,4.5166,6.7086,0.9172,1,9.9949,6843.5476,0
3.1477,3.2003,9.3216,0.601,5,18.6561,4984.7059,1
7.6659,2.075,7.3711,0.8587,2,15.396,5527.2244,1
8.4026,3.3332,4.3468,0.8799,3,22.2551,2211.8224,1
4.0151,4.8639,5.7147,0.6657,5,19.1985,7694.1397,0
1.499,8.7342,2.5019,0.6192,1,26.9338,10274.7463,1
7.667,1.0231,8.7282,0.5554,1,14.6812,6053.2024,1
9.3804,8.7174,5.9758,0.9521,4,7.5109,4099.8162,1
3.8794,8.434,6.1438,0.6025,1,6.201,12162.9013,1
9.5867,1.6203,5.1858,0.6742,3,10.4917,8519.8252,0
2.806,6.0743,3.7352,0.824,4,11.6799,14591.9373,0
7.983,7.5922,5.919,0.9002,2,1.185,6445.5236,1
4.1178,8.5562,8.8948,0.9684,1,23.0089,5955.985,1
3.7676,2.8467,9.848,0.7347,1,29.2042,2564.4155,1
1.3951,3.0833,8.6095,0.7317,3,14.2953,11344.5413,1
5.5488,6.7349,4.5492,0.8104,1,13.6145,14481.165,0
3.3489,3.8351,8.2074,0.8583,3,10.2237,4443.3601,0
2.8244,8.0194,6.2624,0.6184,2,14.0374,5053.4827,1
4.2246,7.933,5.0673,0.7539,1,3.6222,12210.1551,0
7.3423,6.4297,2.9352,0.9269,2,3.6452,4099.1724,1
5.6211,7.0947,3.3415,0.9859,1,28.6108,12891.7189,0
5.9511,1.8525,1.9172,0.8993,1,1.3468,12540.3988,1
2.1764,8.4131,4.3502,0.8273,1,17.8874,4252.8995,1
1.1962,1.5802,9.1225,0.7451,2,3.6674,12785.4938,1
2.1027,9.4805,1.4557,0.9566,4,24.8289,6227.481,0
7.1489,2.5553,2.9324,0.6323,3,13.9343,2655.1554,1
6.5528,6.8255,5.49,0.9384,4,2.7684,4556.7518,1
2.7951,8.9619,5.7323,0.8275,5,24.0505,14846.3524,1
4.232,5.9007,5.3621,0.9516,5,10.3265,4421.3174,1
6.374,1.2637,8.2962,0.6736,4,16.3535,11619.2114,1
9.7658,1.9012,6.9118,0.6673,1,23.1574,14243.1359,1
9.844,4.4958,9.4169,0.9863,2,6.1069,9091.5329,1
7.2786,9.2258,1.2539,0.8582,5,17.3446,8665.0789,1
9.8921,8.9346,5.43,0.686,4,2.1009,1314.4357,1
1.1794,5.3019,3.9856,0.8202,2,10.882,3073.1682,0
8.814,1.536,2.3294,0.8601,2,23.4566,12773.9729,1
9.645,4.3623,9.4773,0.7241,1,10.7603,5177.7465,1
7.5912,4.9318,6.7534,0.7644,3,6.0519,14546.772,1
9.3596,8.0829,3.0091,0.8091,2,11.9731,11142.9271,1
2.5994,1.0162,7.3181,0.802,5,1.9391,9234.6357,0
9.7078,2.9881,6.09,0.9621,2,10.6039,1628.1963,1
3.8757,6.7257,9.6677,0.9115,3,13.9523,4345.5804,1
1.6102,3.3099,1.9723,0.5506,4,13.7084,6584.9718,1
4.7262,8.9359,4.1611,0.7152,4,23.8732,8881.8046,1
3.0302,5.0616,8.1928,0.5647,1,10.2428,14299.1009,0
2.5309,4.3791,7.5879,0.7907,1,10.8006,14786.5035,0
7.3405,4.8819,6.8827,0.8172,4,5.556,1968.2383,1
2.7099,7.2748,7.4983,0.8712,3,20.1573,4812.3094,1
4.5361,5.947,5.4185,0.574,1,13.4006,4770.967,1
6.4019,2.7971,1.2316,0.6252,3,29.3347,7366.7744,1
8.0639,5.2385,9.0539,0.6666,5,12.2383,5879.7976,1
2.6792,1.4016,4.9577,0.6659,3,17.3632,2691.3948,0
1.8703,7.0133,8.2736,0.7322,5,7.5979,1384.2643,1
5.7032,9.6906,7.1836,0.962,5,26.568,7405.8031,0
9.125,7.4288,5.5189,0.9462,5,20.6485,9493.9602,1
7.8147,2.5559,9.8593,0.9778,2,4.6594,6638.936,1
4.9185,9.9754,6.645,0.917,3,10.2727,11042.9936,1
1.7832,6.0073,5.9685,0.9269,5,14.2866,13165.2607,0
6.6075,5.7031,4.7763,0.7324,2,17.4312,8948.8178,0
1.9018,1.9507,8.0159,0.8957,5,26.5239,13229.4567,1
6.8931,6.1482,5.2574,0.6258,4,5.1717,9325.5013,1
1.349,9.0062,3.9834,0.6545,4,27.7042,13506.9548,0
8.3565,3.7275,3.5231,0.7663,1,29.2024,3805.3825,1
